audience,example,person,entity_type,count,over_summary_length
none,none,1,CARDINAL,5,0.0011913271384322134
none,none,1,NORP,2,0.0004765308553728854
none,none,1,MONEY,2,0.0004765308553728854
none,none,1,PERSON,18,0.004288777698355968
none,none,1,ORG,8,0.0019061234214915416
none,none,1,GPE,33,0.007862759113652609
none,none,1,DATE,8,0.0019061234214915416
none,none,1,FAC,3,0.0007147962830593281
none,none,1,TOTAL,79,0.018822968787228972
none,none,1,CARDINAL,5,0.0011913271384322134
none,none,1,NORP,2,0.0004765308553728854
none,none,1,MONEY,2,0.0004765308553728854
none,none,1,PERSON,18,0.004288777698355968
none,none,1,ORG,8,0.0019061234214915416
none,none,1,GPE,33,0.007862759113652609
none,none,1,DATE,8,0.0019061234214915416
none,none,1,FAC,3,0.0007147962830593281
none,none,1,TOTAL,79,0.018822968787228972
none,none,1,CARDINAL,5,0.0011913271384322134
none,none,1,NORP,2,0.0004765308553728854
none,none,1,MONEY,2,0.0004765308553728854
none,none,1,PERSON,18,0.004288777698355968
none,none,1,ORG,8,0.0019061234214915416
none,none,1,GPE,33,0.007862759113652609
none,none,1,DATE,8,0.0019061234214915416
none,none,1,FAC,3,0.0007147962830593281
none,none,1,TOTAL,79,0.018822968787228972
none,manual_example,1,CARDINAL,1,0.00046598322460391424
none,manual_example,1,NORP,4,0.001863932898415657
none,manual_example,1,MONEY,1,0.00046598322460391424
none,manual_example,1,GPE,10,0.004659832246039142
none,manual_example,1,DATE,3,0.0013979496738117428
none,manual_example,1,PERSON,5,0.002329916123019571
none,manual_example,1,ORG,4,0.001863932898415657
none,manual_example,1,TOTAL,28,0.0130475302889096
none,manual_example,1,CARDINAL,1,0.00046598322460391424
none,manual_example,1,NORP,4,0.001863932898415657
none,manual_example,1,MONEY,1,0.00046598322460391424
none,manual_example,1,GPE,10,0.004659832246039142
none,manual_example,1,DATE,3,0.0013979496738117428
none,manual_example,1,PERSON,5,0.002329916123019571
none,manual_example,1,ORG,4,0.001863932898415657
none,manual_example,1,TOTAL,28,0.0130475302889096
none,manual_example,1,CARDINAL,1,0.00046598322460391424
none,manual_example,1,NORP,4,0.001863932898415657
none,manual_example,1,MONEY,1,0.00046598322460391424
none,manual_example,1,GPE,10,0.004659832246039142
none,manual_example,1,DATE,3,0.0013979496738117428
none,manual_example,1,PERSON,5,0.002329916123019571
none,manual_example,1,ORG,4,0.001863932898415657
none,manual_example,1,TOTAL,28,0.0130475302889096
none,masked_manual_example,1,CARDINAL,2,0.0009319664492078285
none,masked_manual_example,1,NORP,3,0.0013979496738117428
none,masked_manual_example,1,MONEY,1,0.00046598322460391424
none,masked_manual_example,1,GPE,12,0.005591798695246971
none,masked_manual_example,1,PERSON,10,0.004659832246039142
none,masked_manual_example,1,LOC,1,0.00046598322460391424
none,masked_manual_example,1,DATE,1,0.00046598322460391424
none,masked_manual_example,1,ORG,4,0.001863932898415657
none,masked_manual_example,1,TOTAL,34,0.015843429636533086
none,masked_manual_example,1,CARDINAL,2,0.0009319664492078285
none,masked_manual_example,1,NORP,3,0.0013979496738117428
none,masked_manual_example,1,MONEY,1,0.00046598322460391424
none,masked_manual_example,1,GPE,12,0.005591798695246971
none,masked_manual_example,1,PERSON,10,0.004659832246039142
none,masked_manual_example,1,LOC,1,0.00046598322460391424
none,masked_manual_example,1,DATE,1,0.00046598322460391424
none,masked_manual_example,1,ORG,4,0.001863932898415657
none,masked_manual_example,1,TOTAL,34,0.015843429636533086
none,masked_manual_example,1,CARDINAL,2,0.0009319664492078285
none,masked_manual_example,1,NORP,3,0.0013979496738117428
none,masked_manual_example,1,MONEY,1,0.00046598322460391424
none,masked_manual_example,1,GPE,12,0.005591798695246971
none,masked_manual_example,1,PERSON,10,0.004659832246039142
none,masked_manual_example,1,LOC,1,0.00046598322460391424
none,masked_manual_example,1,DATE,1,0.00046598322460391424
none,masked_manual_example,1,ORG,4,0.001863932898415657
