final_summary,audience,example,person,ground_truth,word_count,character_count,rouge,bleu,bleurt,ter
"In this investigation, the user searched for and read multiple documents related to arms dealing, fraud, and illegal possession of arms, as well as events related to sickness, health issues, and business success. The investigation involved multiple individuals, including Kaya, Baltasar, Saleh Ahmed, Mikhail Dombrovski, Engr. Funsho Kapolalum, Dr. George Ngoki, and Hakan. The user found intercepted emails, phone calls, and reports that revealed conversations about the procurement of supplies, contract payments, and gun drop-offs. The investigation also uncovered information about Nigerian scams, disease outbreaks, and piracy.The user connected Saleh Ahmed to the arms trade and highlighted him as a possible gun dealer. The user also investigated Leonid Minsky, a prominent international gun smuggler, who was raided by police in his hotel room in Soncino, Italy in 2009. The police found uncut diamonds worth $500,000, receipts for diamond and gun shipments to Yemen, and a duffel bag filled with over $35,000 in various currencies. The user also found documents related to fraud, contract payment, and business dealings in Nigeria and connected Engr. Funsho Kapolalum to a Nigerian scam involving the transfer of $30.6 million.The investigation also revealed conversations about the purchase of farming equipment, the need for cash to pay for books, and the possibility of picking up the money at a bank in the United Arab Emirates. The investigation also uncovered information about Rosoboronexport's plan to increase weapon sales in the Asia-Pacific region and a network of terrorists belonging to the banned militant outfit, Lashkar-e-Jhangvi, who had planned to bomb the Nishter Park gathering on Rabiul Awwal 12.Overall, the investigation uncovered a complex web of individuals and organizations involved in arms dealing, fraud, and illegal possession of arms, as well as events related to sickness, health issues, and business success. The investigation highlighted the importance of monitoring and investigating these activities to prevent potential threats to national security and public safety.",none,none,3,manual,312,1720,0.088495575,0,-0.929088891,93.33333333
"In this investigation, the user searched for and read multiple documents related to arms dealing, fraud, and illegal possession of arms, as well as events related to sickness, health issues, and business success. The investigation involved multiple individuals, including Kaya, Baltasar, Saleh Ahmed, Mikhail Dombrovski, Engr. Funsho Kapolalum, Dr. George Ngoki, and Hakan. The user found intercepted emails, phone calls, and reports that revealed conversations about the procurement of supplies, contract payments, and gun drop-offs. The investigation also uncovered information about Nigerian scams, disease outbreaks, and piracy.The user connected Saleh Ahmed to the arms trade and highlighted him as a possible gun dealer. The user also investigated Leonid Minsky, a prominent international gun smuggler, who was raided by police in his hotel room in Soncino, Italy in 2009. The police found uncut diamonds worth $500,000, receipts for diamond and gun shipments to Yemen, and a duffel bag filled with over $35,000 in various currencies. The user also found documents related to fraud, contract payment, and business dealings in Nigeria and connected Engr. Funsho Kapolalum to a Nigerian scam involving the transfer of $30.6 million.The investigation also revealed conversations about the purchase of farming equipment, the need for cash to pay for books, and the possibility of picking up the money at a bank in the United Arab Emirates. The investigation also uncovered information about Rosoboronexport's plan to increase weapon sales in the Asia-Pacific region and a network of terrorists belonging to the banned militant outfit, Lashkar-e-Jhangvi, who had planned to bomb the Nishter Park gathering on Rabiul Awwal 12.Overall, the investigation uncovered a complex web of individuals and organizations involved in arms dealing, fraud, and illegal possession of arms, as well as events related to sickness, health issues, and business success. The investigation highlighted the importance of monitoring and investigating these activities to prevent potential threats to national security and public safety.",none,none,3,baseline,312,1720,0,0,0,0
"In this investigation, the user searched for and read multiple documents related to arms dealing, fraud, and illegal possession of arms, as well as events related to sickness, health issues, and business success. The investigation involved multiple individuals, including Kaya, Baltasar, Saleh Ahmed, Mikhail Dombrovski, Engr. Funsho Kapolalum, Dr. George Ngoki, and Hakan. The user found intercepted emails, phone calls, and reports that revealed conversations about the procurement of supplies, contract payments, and gun drop-offs. The investigation also uncovered information about Nigerian scams, disease outbreaks, and piracy.The user connected Saleh Ahmed to the arms trade and highlighted him as a possible gun dealer. The user also investigated Leonid Minsky, a prominent international gun smuggler, who was raided by police in his hotel room in Soncino, Italy in 2009. The police found uncut diamonds worth $500,000, receipts for diamond and gun shipments to Yemen, and a duffel bag filled with over $35,000 in various currencies. The user also found documents related to fraud, contract payment, and business dealings in Nigeria and connected Engr. Funsho Kapolalum to a Nigerian scam involving the transfer of $30.6 million.The investigation also revealed conversations about the purchase of farming equipment, the need for cash to pay for books, and the possibility of picking up the money at a bank in the United Arab Emirates. The investigation also uncovered information about Rosoboronexport's plan to increase weapon sales in the Asia-Pacific region and a network of terrorists belonging to the banned militant outfit, Lashkar-e-Jhangvi, who had planned to bomb the Nishter Park gathering on Rabiul Awwal 12.Overall, the investigation uncovered a complex web of individuals and organizations involved in arms dealing, fraud, and illegal possession of arms, as well as events related to sickness, health issues, and business success. The investigation highlighted the importance of monitoring and investigating these activities to prevent potential threats to national security and public safety.",none,none,3,additional,312,1720,0,0,0,0
"This session focused on investigating a complex web of arms dealing, Nigerian scams, and disease outbreaks. The user searched for and read multiple documents related to these topics, often connecting them to specific individuals and events. Dubai was a common location mentioned throughout the session. Mikhail Dombrovski and Saleh Ahmed were two individuals who were frequently investigated. The user also searched for information related to specific ships and disease outbreaks. The session lasted for an hour and 23 minutes, with most documents receiving less than 1 minute of attention. The user ran a total of 45 searches, which is less than the average for this type of sensemaking task. Overall, the user appeared to be diligent in their investigation, connecting various pieces of information to build a more comprehensive understanding of the situation at hand.",none,manual_example,3,manual,135,716,0.272727273,0.151787818,-0.12707895,86.66666667
"This session focused on investigating a complex web of arms dealing, Nigerian scams, and disease outbreaks. The user searched for and read multiple documents related to these topics, often connecting them to specific individuals and events. Dubai was a common location mentioned throughout the session. Mikhail Dombrovski and Saleh Ahmed were two individuals who were frequently investigated. The user also searched for information related to specific ships and disease outbreaks. The session lasted for an hour and 23 minutes, with most documents receiving less than 1 minute of attention. The user ran a total of 45 searches, which is less than the average for this type of sensemaking task. Overall, the user appeared to be diligent in their investigation, connecting various pieces of information to build a more comprehensive understanding of the situation at hand.",none,manual_example,3,baseline,135,716,0.183406114,0.072727902,-0.475220531,205.1851852
"This session focused on investigating a complex web of arms dealing, Nigerian scams, and disease outbreaks. The user searched for and read multiple documents related to these topics, often connecting them to specific individuals and events. Dubai was a common location mentioned throughout the session. Mikhail Dombrovski and Saleh Ahmed were two individuals who were frequently investigated. The user also searched for information related to specific ships and disease outbreaks. The session lasted for an hour and 23 minutes, with most documents receiving less than 1 minute of attention. The user ran a total of 45 searches, which is less than the average for this type of sensemaking task. Overall, the user appeared to be diligent in their investigation, connecting various pieces of information to build a more comprehensive understanding of the situation at hand.",none,manual_example,3,additional,135,716,0.193370166,0.047167894,-0.336326331,145.1851852
"This investigation session focused on arms dealing, a Nigerian scam, and disease outbreaks. The user searched for information on various individuals, including Kaya, Baltasar, Saleh Ahmed, Leonid Minsky, Akram Basra, Funsho Kapolalum, Jhon, Tomsky, Hakan, and Celik. The user also searched for events in Dubai, Yemen, Saudi Arabia, and Kenya. The investigation involved intercepted phone calls, emails, and documents related to arms dealing, including the procurement of supplies for an upcoming event in Dubai, a gun drop-off, and a reunion celebration at the Burj Al Arab hotel. The investigation also involved intercepted emails related to a Nigerian scam involving the transfer of $30.6 million and discussions of a coded account at the Central Bank of Nigeria. The investigation also involved documents related to disease outbreaks and missing firearms and ammunition from the MP armoury in Kenya. The user connected various documents related to arms dealing and searched for more information on Jhon and Tomsky. The investigation lasted for an unknown amount of time, and the user ran several searches, including those related to Rosoboronexport, the MV Tanya, and a Russian cargo plane that landed in Bangkok.",none,masked_manual_example,3,manual,186,993,0.151419558,0,-0.655519724,90.86021505
"This investigation session focused on arms dealing, a Nigerian scam, and disease outbreaks. The user searched for information on various individuals, including Kaya, Baltasar, Saleh Ahmed, Leonid Minsky, Akram Basra, Funsho Kapolalum, Jhon, Tomsky, Hakan, and Celik. The user also searched for events in Dubai, Yemen, Saudi Arabia, and Kenya. The investigation involved intercepted phone calls, emails, and documents related to arms dealing, including the procurement of supplies for an upcoming event in Dubai, a gun drop-off, and a reunion celebration at the Burj Al Arab hotel. The investigation also involved intercepted emails related to a Nigerian scam involving the transfer of $30.6 million and discussions of a coded account at the Central Bank of Nigeria. The investigation also involved documents related to disease outbreaks and missing firearms and ammunition from the MP armoury in Kenya. The user connected various documents related to arms dealing and searched for more information on Jhon and Tomsky. The investigation lasted for an unknown amount of time, and the user ran several searches, including those related to Rosoboronexport, the MV Tanya, and a Russian cargo plane that landed in Bangkok.",none,masked_manual_example,3,baseline,186,993,0.258317025,0.159350232,-0.091765009,137.0967742
"This investigation session focused on arms dealing, a Nigerian scam, and disease outbreaks. The user searched for information on various individuals, including Kaya, Baltasar, Saleh Ahmed, Leonid Minsky, Akram Basra, Funsho Kapolalum, Jhon, Tomsky, Hakan, and Celik. The user also searched for events in Dubai, Yemen, Saudi Arabia, and Kenya. The investigation involved intercepted phone calls, emails, and documents related to arms dealing, including the procurement of supplies for an upcoming event in Dubai, a gun drop-off, and a reunion celebration at the Burj Al Arab hotel. The investigation also involved intercepted emails related to a Nigerian scam involving the transfer of $30.6 million and discussions of a coded account at the Central Bank of Nigeria. The investigation also involved documents related to disease outbreaks and missing firearms and ammunition from the MP armoury in Kenya. The user connected various documents related to arms dealing and searched for more information on Jhon and Tomsky. The investigation lasted for an unknown amount of time, and the user ran several searches, including those related to Rosoboronexport, the MV Tanya, and a Russian cargo plane that landed in Bangkok.",none,masked_manual_example,3,additional,186,993,0.313253012,0.257359801,-0.068301357,100.5376344
"They focused on multiple topics in this analysis session, exploring a significant portion of the documents. The topics that received the most attention were arms dealing, Nigerian scams, and disease outbreaks. They started searching for textbooks delivery in Dubai, which led them to investigate individuals named Kaya and Baltasar. They found a US government telephone intercept from 2008 that revealed a conversation in Kurmanji between a school representative in Aleppo, Syria, and a contact in Antalya, Turkey, discussing the need for textbooks. They also investigated Saleh Ahmed, a possible gun dealer, and Leonid Minsky, a prominent international gun smuggler. They found an intercepted email from boyo23826@hotmail.com to Joetomsk@au.ru detailing a Nigerian scam involving the transfer of $30.6 million in overdue payment bills. They also searched for and read documents related to sickness and health issues, including a report on fighting in northern Yemen that has spilled into Saudi Arabia, causing the evacuation of 240 villages and closure of over 50 schools.They conducted multiple searches throughout their session, including for Jhon, Jtomski, rockets, pirates, military supplies, and cargo. They found an intercepted phone call between Hakan and Celik in Turkey discussing wire transfer plans. They also found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. They investigated a Russian cargo plane landing in Bangkok after departing North Korea, and the crew of five men, four Ukrainians and a Belarusian, leaving the airport with officers and checking in at a nearby hotel. They also found an intercepted phone call between two individuals in Venezuela discussing a raid on Jorge's place the previous night and the need for a new source for car parts.Overall, they conducted a thorough investigation into various topics related to intelligence, including arms dealing, Nigerian scams, and disease outbreaks. They searched for and found intercepted phone calls and emails, reports, and surveillance documents to piece together a complex web of information. They conducted multiple searches throughout their session, demonstrating a persistent and thorough approach to their investigation.",none,masked_template,3,manual,342,1880,0.11691023,0,-0.91286546,93.89534884
